Pick Rd 1,Rd 1, Pick Rd 2, Rd 2,Pick Rd 3,Rd 3,Pick Rd 4,Rd 4,Pick Rd 5,Rd 5,Pick Rd 6,Rd 6,Pick Rd 7,Rd 7,Pick Rd 8,Rd 8,Pick Rd 9,Rd 9,Pick Rd 10,Rd 10,Pick Rd 11,Rd 11
,Alfredo,,Alfredo,,Alfredo,,Alfredo,,Alfredo,,Alfredo,,Alfredo,,Alfredo,,Alfredo,,Alfredo,,Alfredo
,Ryan,,Blair,,Blair,,Blair,,Goeff,,Blair,,Moses,,Moses,,Paul C,,Moses,,Reed
,Kevin,,Blair,,Reed*,,Geoff,,Geoff*,,Reed,,Geoff,,Geoff,,Paul C,,Paul S,,Paul S
,Jamie,,Jamie,,Jamie*,,Jamie,,Reed,,Jamie,,Jamie,,Jamie,,Jamie,,Jamie,,Mat
,Kevin,,Kevin,,Kevin,,Kevin,,Kevin,,Kevin,,Kevin,,Geoff,,Ryan,,Paul S,,Paul S
,Ryan,,Mat*,,Jamie,,Mat,,Mat*,,Mat,,Mat,,Mat,,Mat,,Mat,,Mat
,Reed*,,Blair*,,Blair*,,Blair,,Moses*,,Paul C,,Moses,,Moses,,Moses,,Moses,,Moses
,Geoff,,Blair,,Reed,,Paul C,,Paul C,,Paul C,,Paul C,,Paul C,,Paul C,,Paul C,,Paul C
,Kevin,,Kevin,,Blair,,Geoff,,Paul S*,,Paul S,,Paul S,,Paul S,,Paul S,,Paul S,,Reed
,Reed,,Blair,,Reed*,,Geoff,,Paul S*,,Reed,,Reed*,,Reed,,Geoff*,,Reed*,,Moses
,Ryan,,Ryan,,Kevin,,Ryan,,Ryan,,Mat,,Ryan,,Ryan,,Ryan,,Ryan,,Blair






